name,nig,h,m,s,dd,dm,ds,V,B,kkk
HD  45090,--,6,25,52.326,11,7,33.18,6.38,6.43,
HD  45239,--,6,25,58.828,-7,53,41.93,6.404,6.535,
HD  45215,--,6,26,9.527,-3,30,56.6,6.43,7.46,
V* RR Lyn,--,6,26,25.836,56,17,6.36,5.54,5.76,
HD  45321,--,6,26,34.444,-4,35,50.63,6.133,5.989,
HD  45320,--,6,26,39.59,-1,30,26.4,5.854,5.927,
HD  45420,--,6,26,42.658,-14,36,12.34,6.3,7.55,
HD  45380,--,6,26,44.852,-7,30,42.98,6.33,6.29,
*   5 Lyn,--,6,26,48.872,58,25,2.67,5.197,6.734,
*   9 Mon,--,6,27,0.879,-4,21,20.33,6.472,6.34,
HD  45984,--,6,27,4.137,-58,0,7.64,5.816,7.105,
HD  45680,--,6,27,7.585,-37,53,43.81,6.487,6.855,
HD  45588,--,6,27,11.365,-25,51,23.39,6.07,6.61,
HD  45416,--,6,27,13.761,0,17,57.29,5.186,6.368,
HD  45433,--,6,27,15.591,0,16,33.6,5.538,6.919,
HD  45415,--,6,27,20.45,2,54,29.85,5.543,6.576,
HD  45192,--,6,27,35.522,32,33,46.61,6.46,7.73,
*  16 Gem,--,6,27,56.672,20,29,46.75,6.22,6.23,
*  10 Mon,--,6,27,57.569,-4,45,43.75,5.041,4.861,
* lam CMa,--,6,28,10.207,-32,34,48.25,4.48,4.31,
HD  44472,--,6,28,14.485,70,32,7.15,6.04,6.14,
HD  45563,--,6,28,16.768,1,54,45.65,6.45,6.403,
HD  45512,--,6,28,18.813,10,18,14.02,6.155,7.328,
HD  45506,--,6,28,28.054,16,14,18.19,6.233,7.132,
*  48 Aur,--,6,28,34.088,30,29,34.94,5.55,6.23,
HD  45765,--,6,28,37.42,-17,27,57.64,5.761,6.879,
HD  45871,--,6,28,39.243,-32,22,16.6,5.74,5.57,
HD  45983,--,6,28,42.411,-41,4,29.47,6.316,6.699,
* bet Mon,--,6,28,49.07,-7,1,59.01,3.74,3.59,
* nu. Gem,--,6,28,57.786,20,12,43.69,4.14,4,
HD  45724,--,6,29,14.811,2,38,46.3,6.2,7.74,
*  61 Pic,--,6,29,28.497,-56,51,9.96,5.197,6.283,
*  47 Aur,--,6,30,2.974,46,41,8,5.866,7.327,
HD  46730,--,6,30,3.011,-65,34,5.66,6.262,6.596,
HD  45976,--,6,30,11.276,-10,4,53.44,5.909,7.276,
HD  46037,--,6,30,11.818,-19,12,53.6,6.44,8.11,
HD  46064,--,6,30,34.886,-13,8,53.42,6.16,6.01,
HD  46189,--,6,30,46.286,-27,46,10.49,5.903,5.745,
HD  46365,--,6,30,59.894,-40,54,58.51,6.179,7.587,
HD  45995,--,6,31,9.562,11,15,4.96,6.14,6.06,
HD  45951,--,6,31,9.993,16,56,19.08,6.17,7.32,
V* AE Pic,--,6,31,10.639,-61,52,46.35,6.144,5.99,
HR  2388 ,--,6,31,13.087,-35,15,31.89,5.82,6.624,
HD  46569,--,6,31,18.332,-51,49,33.45,5.573,6.102,
HD  46184,--,6,31,23.043,-12,23,31.04,5.153,6.425,
V* KM CMa,--,6,31,23.995,-32,52,6.77,6.34,7.98,
V* SX Col,--,6,31,34.948,-36,56,24.08,6.278,7.852,
*  19 Gem,--,6,31,37.434,15,54,12.63,6.38,6.63,
HD  46089,--,6,31,48.299,11,32,39.89,5.21,5.386,
HD  46229,--,6,31,50.064,-8,9,29.6,5.411,6.784,
* ksi01 C,Ma               ,6,31,51.366,-23,25,6.32,4.33,4.09,
* mu. Pic,--,6,31,58.31,-58,45,13.81,5.707,5.647,
*  20 Gem,--,6,32,18.546,17,47,3.67,6.242,6.78,
*  12 Mon,--,6,32,19.204,4,51,21.6,5.83,6.82,
HD  46568,--,6,32,21.378,-37,41,48.2,5.253,6.234,
HD  46304,--,6,32,23.129,-5,52,7.74,5.598,5.846,
HD  46178,--,6,32,23.275,11,40,24.67,6.05,7.13,
V* WW Aur,--,6,32,27.184,32,27,17.63,5.829,6.005,
