n,h,m,s,znak,dd,dm,ds,mV,B-V
106Nu  Psc,1,41,25.9,+,5,29,15,4.44,1.36
80    Psc,1,8,22.2,+,5,38,59,5.52,0.34
73    Psc,1,4,52.6,+,5,39,23,6,1.51
98Mu  Psc,1,30,11.1,+,6,8,38,4.84,1.37
88    Psc,1,14,42.4,+,6,59,43,6.03,1.08
86Zet Psc,1,13,43.9,+,7,34,31,5.24,0.32
86Zet Psc,1,13,45.3,+,7,34,42,6.3,0.49
71Eps Psc,1,2,56.6,+,7,53,24,4.28,0.96
--,1,28,22.9,+,7,57,41,6.2,1.12
110Omi Psc,1,45,23.6,+,9,9,28,4.26,0.96
--,1,50,52,+,11,2,36,5.94,0.3
102Pi  Psc,1,37,5.9,+,12,8,30,5.57,0.35
--,1,59,25.9,+,12,17,41,6.09,0.19
75    Psc,1,6,33.6,+,12,57,22,6.12,0.96
101    Psc,1,35,46.4,+,14,39,41,6.22,-0.04
72    Psc,1,5,5.4,+,14,56,46,5.68,0.41
99Eta Psc,1,31,29,+,15,20,45,3.62,0.97
--,1,10,11.5,+,15,40,27,6.06,1.49
87    Psc,1,14,7.6,+,16,8,1,5.98,-0.08
105    Psc,1,39,40.8,+,16,24,21,5.97,1.12
4    Ari,1,48,10.9,+,16,57,20,5.84,-0.03
--,1,46,35.3,+,17,24,47,6.55,0.25
8Iot Ari,1,57,21.1,+,17,49,3,5.1,0.92
97    Psc,1,29,52.9,+,18,21,20,6.02,0.14
--,1,34,49.1,+,18,27,38,5.89,1.52
93Rho Psc,1,26,15.3,+,19,10,20,5.38,0.39
94    Psc,1,26,41.7,+,19,14,25,5.5,1.11
5Gam2Ari,1,53,31.8,+,19,17,37,4.75,-0.04
81Psi3Psc,1,9,49.2,+,19,39,31,5.55,0.69
109    Psc,1,44,55.8,+,20,4,59,6.27,0.75
107    Psc,1,42,29.8,+,20,16,7,5.24,0.84
--,1,23,24.9,+,20,28,8,5.97,1.71
79Psi2Psc,1,7,57.2,+,20,44,21,5.55,0.13
6Bet Ari,1,54,38.4,+,20,48,29,2.64,0.13
84Chi Psc,1,11,27.2,+,21,2,5,4.66,1.03
--,1,59,35.7,+,21,3,30,5.87,1.03
74Psi1Psc,1,5,41.7,+,21,27,55,5.56,-0.07
74Psi1Psc,1,5,40.9,+,21,28,24,5.34,-0.03
1    Ari,1,50,8.5,+,22,16,31,5.86,0.74
--,1,25,35.7,+,23,30,42,6.18,0.43
7    Ari,1,55,51,+,23,34,38,5.74,1.19
9Lam Ari,1,57,55.7,+,23,35,46,4.79,0.28
85Phi Psc,1,13,44.9,+,24,35,1,4.65,1.04
--,1,10,19.4,+,25,27,28,5.8,1.47
--,1,41,18.4,+,25,44,45,6.17,0.44
90Ups Psc,1,19,28,+,27,15,51,4.76,0.03
--,1,57,43.8,+,27,48,16,5.82,1.6
--,1,14,5,+,28,31,47,6.43,1.7
91    Psc,1,21,7.4,+,28,44,17,5.23,1.39
2Alp Tri,1,53,4.9,+,29,34,44,3.41,0.49
--,1,4,27.6,+,29,39,31,6.19,0.43
--,1,41,39.2,+,30,2,50,5.99,1.01
--,1,12,59.5,+,30,3,51,6.19,1
83Tau Psc,1,11,39.6,+,30,5,23,4.51,1.09
82    Psc,1,11,6.8,+,31,25,29,5.16,0.23
69Sig Psc,1,2,49.1,+,31,48,16,5.5,-0.05
78    Psc,1,8,1.3,+,32,0,44,6.25,0.4
--,1,48,41.6,+,32,41,25,5.79,0.55
--,1,16,18.8,+,33,6,53,6.02,1.15
--,1,23,37.5,+,34,14,45,6.29,0.83
--,1,27,6.2,+,34,22,39,6.27,0.46
--,1,26,8.7,+,34,34,47,6.31,0.47
--,1,32,7.6,+,34,48,0,6.39,-0.12
--,1,42,3.5,+,35,14,44,5.64,-0.07
